Time (s)	Counter ()	ยว 2 (mm)
0.1304	15.000028	30.030722
0.1306	14.993652	30.016954
0.1308	14.995565	30.020014
0.131	14.995565	30.030722
0.1312	14.99684	30.023073
0.1314	14.98919	30.021544
0.1316	14.996202	30.016954
0.1318	14.992377	30.026133
0.132	14.995565	30.023073
0.1322	14.994927	30.021544
0.1324	14.999391	30.018484
0.1326	14.995565	30.027662
0.1328	14.998116	30.021544
0.133	14.995565	30.026133
0.1332	14.996202	30.03837
0.1334	14.993015	30.020014
0.1336	14.993652	30.032251
0.1338	14.994927	30.024603
0.134	14.994927	30.018484
0.1342	14.993652	30.018484
0.1344	14.991102	30.018484
0.1346	14.994927	30.021544
0.1348	14.996202	30.024603
0.135	14.996202	30.020014
0.1352	14.995565	30.021544
0.1354	14.99429	30.024603
0.1356	14.996202	30.021544
0.1358	14.997478	30.012365
0.136	14.995565	30.021544
0.1362	14.998116	30.023073
0.1364	14.992377	30.027662
0.1366	14.99429	30.030722
0.1368	14.99429	30.023073
0.137	14.99684	29.340851
0.1372	14.995565	28.066658
0.1374	14.996202	26.965313
0.1376	14.993015	26.945427
0.1378	14.993652	26.143894
0.138	14.994927	25.6437
0.1382	14.998116	25.056316
0.1384	14.993015	24.407747
0.1386	14.997478	24.39245
0.1388	14.99429	24.475052
0.139	14.99684	24.970655
0.1392	14.998116	25.558041
0.1394	14.996202	26.202021
0.1396	14.99429	26.228024
0.1398	14.997478	27.092274
0.14	14.992377	28.35729
0.1402	14.99684	29.43569
0.1404	14.995565	30.024603
0.1406	14.995565	30.021544
0.1408	14.995565	30.029192
0.141	14.996202	30.023073
0.1412	14.992377	30.016954
0.1414	14.996202	30.027662
0.1416	14.99684	30.021544
0.1418	14.99429	30.027662
0.142	14.99429	30.026133
0.1422	14.99684	30.029192
0.1424	14.995565	30.020014
0.1426	14.998116	30.026133
0.1428	14.993015	30.026133
0.143	14.997478	30.021544
0.1432	14.99174	30.018484
0.1434	14.995565	30.023073
0.1436	14.996202	30.023073
0.1438	14.997478	30.027662
0.144	14.996202	30.029192
0.1442	14.99684	30.021544
0.1444	14.994927	30.026133
0.1446	14.995565	30.032251
0.1448	14.996202	30.020014
0.145	14.997478	30.026133
0.1452	14.99429	30.024603
0.1454	14.997478	30.029192
0.1456	14.993652	30.023073
0.1458	14.99429	30.023073
0.146	15.000666	30.020014
0.1462	14.997478	30.021544
0.1464	14.993015	30.024603
0.1466	14.993015	30.021544
0.1468	14.993652	29.974125
0.147	14.991102	29.031864
0.1472	14.99429	27.928989
0.1474	14.991102	26.904127
0.1476	14.995565	26.885771
0.1478	14.99429	25.975634
0.148	14.998753	25.386719
0.1482	14.99429	24.719795
0.1484	14.999391	24.400099
0.1486	14.99174	24.389391
0.1488	14.996202	24.554592
0.149	14.995565	25.137388
0.1492	14.994927	25.648289
0.1494	14.996202	26.20661
0.1496	14.996202	26.224964
0.1498	14.995565	27.300306
0.15	14.998753	28.556145
0.1502	14.993652	29.548883
0.1504	14.998116	30.024603
0.1506	14.994927	30.023073
0.1508	14.995565	30.018484
0.151	14.996202	30.023073
0.1512	14.99684	30.018484
0.1514	14.993015	30.016954
0.1516	14.99684	30.023073
0.1518	14.992377	30.021544
0.152	14.995565	30.024603
0.1522	14.99684	30.024603
0.1524	14.997478	30.023073
0.1526	14.990465	30.024603
0.1528	14.994927	30.020014
0.153	14.995565	30.023073
0.1532	14.998753	30.021544
0.1534	14.99429	30.023073
0.1536	15.000028	30.020014
0.1538	14.996202	30.020014
0.154	14.995565	30.024603
0.1542	14.99429	30.020014
0.1544	14.995565	30.020014
0.1546	14.994927	30.024603
0.1548	14.998116	30.024603
0.155	14.99684	30.023073
0.1552	14.994927	30.024603
0.1554	14.993652	30.016954
