Time (s)	Counter ()	?? 2 (mm)
0.1452	14.985364	23.731644
0.1454	14.982177	23.480782
0.1456	14.984727	23.312521
0.1458	14.982814	23.257454
0.146	14.983452	23.184031
0.1462	14.984089	23.321699
0.1464	14.980902	23.45019
0.1466	14.983452	23.639866
0.1468	14.984727	23.739292
0.147	14.984727	23.91979
0.1472	14.984089	24.505644
0.1474	14.984089	25.767601
0.1476	14.985364	26.868946
0.1478	14.980902	27.696484
0.148	14.984089	28.146198
0.1482	14.981539	29.431101
0.1484	14.980264	30.068962
0.1486	14.982814	30.072021
0.1488	14.984727	30.067432
0.149	14.982814	30.067432
0.1492	14.98664	30.070492
0.1494	14.981539	30.070492
0.1496	14.981539	30.065903
0.1498	14.984727	30.061314
0.15	14.982814	30.072021
0.1502	14.985364	30.061314
0.1504	14.982814	30.072021
0.1506	14.982814	30.062843
0.1508	14.983452	30.065903
0.151	14.982177	30.064373
0.1512	14.982814	30.065903
0.1514	14.983452	30.068962
0.1516	14.983452	30.072021
0.1518	14.979627	30.068962
0.152	14.984727	30.073551
0.1522	14.982177	30.068962
0.1524	14.982177	30.056726
0.1526	14.982177	30.065903
0.1528	14.985364	30.076611
0.153	14.984089	30.058256
0.1532	14.987277	30.070492
0.1534	14.984727	30.072021
0.1536	14.985364	29.857872
0.1538	14.982177	29.298021
0.154	14.983452	28.935495
0.1542	14.983452	27.514456
0.1544	14.985364	26.521717
0.1546	14.982814	25.351538
0.1548	14.983452	25.022665
0.155	14.982814	24.244074
0.1552	14.986002	23.890726
0.1554	14.986002	23.697992
0.1556	14.982177	23.537378
0.1558	14.98664	23.506786
0.156	14.987277	23.437952
0.1562	14.982814	23.436422
0.1564	14.982814	23.595505
0.1566	14.983452	23.828011
0.1568	14.982814	23.899904
0.157	14.982177	24.09417
0.1572	14.982814	24.842167
0.1574	14.983452	26.030701
0.1576	14.986002	27.15346
0.1578	14.983452	27.829563
0.158	14.987915	28.294575
0.1582	14.981539	29.539705
0.1584	14.982814	30.067432
0.1586	14.985364	30.07814
0.1588	14.982814	30.062843
0.159	14.984089	30.062843
0.1592	14.980902	30.065903
0.1594	14.983452	30.065903
0.1596	14.985364	30.062843
0.1598	14.980902	30.067432
0.16	14.986002	30.072021
0.1602	14.986002	30.072021
0.1604	14.982814	30.073551
0.1606	14.986002	30.065903
0.1608	14.982177	30.061314
0.161	14.982814	30.067432
0.1612	14.984727	30.068962
0.1614	14.982814	30.062843
0.1616	14.99684	30.068962
0.1618	14.996202	30.062843
0.162	14.995565	30.067432
0.1622	14.995565	30.062843
0.1624	14.994927	30.067432
0.1626	14.996202	30.067432
0.1628	14.993652	30.064373
0.163	14.996202	30.067432
0.1632	14.992377	30.064373
0.1634	14.999391	30.070492
0.1636	14.993652	29.69879
0.1638	14.99429	29.102226
0.164	14.999391	28.655571
0.1642	14.994927	27.370668
0.1644	14.99429	26.278503
0.1646	14.99684	25.097616
0.1648	14.994927	24.854403
